periods,ball
0,12
1,20
2,32
3,10
4,06
5,03
6,21
7,05
8,20
9,13
10,32
11,30
12,21
13,05
14,19
15,31
16,23
17,28
18,04
19,07
20,14
21,12
22,01
23,07
24,11
25,15
26,01
27,28
28,29
29,14
30,20
31,11
32,14
33,14
34,03
35,28
36,17
37,27
38,32
39,06
40,25
41,07
42,32
43,02
44,14
45,26
46,28
47,10
48,07
49,08
50,15
51,23
52,15
53,05
54,21
55,26
56,19
57,28
58,02
59,21
60,03
61,32
62,21
63,12
64,33
65,24
66,05
67,33
68,26
69,19
70,15
71,11
72,30
73,27
74,19
75,16
76,25
77,07
78,15
79,25
80,14
81,19
82,26
83,33
84,27
85,12
86,03
87,22
88,18
89,10
90,18
91,17
92,22
93,11
94,04
95,04
96,07
97,22
98,06
99,30
100,27
101,32
102,17
103,03
104,07
105,05
106,30
107,10
108,09
109,11
110,19
111,17
112,01
113,07
114,14
115,18
116,22
117,09
118,07
119,03
120,05
121,19
122,27
123,02
124,17
125,03
126,28
127,26
128,20
129,08
130,18
131,22
132,02
133,28
134,22
135,07
136,16
137,16
138,29
139,03
140,12
141,03
142,27
143,29
144,21
145,21
146,11
147,19
148,05
149,20
150,12
151,27
152,27
153,27
154,20
155,07
156,08
157,15
158,12
159,29
160,18
161,13
162,29
163,28
164,31
165,16
166,05
167,17
168,08
169,27
170,27
171,27
172,11
173,30
174,18
175,07
176,32
177,20
178,33
179,09
180,04
181,20
182,13
183,27
184,20
185,19
186,31
187,21
188,24
189,19
190,15
191,03
192,07
193,30
194,10
195,12
196,13
197,30
198,22
199,11
200,26
201,23
202,21
203,31
204,08
205,01
206,31
207,33
208,18
209,16
210,24
211,07
212,06
213,09
214,04
215,05
216,15
217,23
218,19
219,27
220,10
221,22
222,03
223,16
224,23
225,17
226,05
227,06
228,03
229,22
230,16
231,02
232,21
233,15
234,32
235,01
236,20
237,04
238,04
239,27
240,01
241,23
242,29
243,19
244,18
245,12
246,20
247,12
248,04
249,18
250,01
251,02
252,21
253,06
254,01
255,20
256,20
257,27
258,08
259,25
260,12
261,06
262,30
263,10
264,21
265,33
266,29
267,31
268,04
269,29
270,31
271,05
272,20
273,11
274,23
275,22
276,11
277,12
278,10
279,21
280,03
281,22
282,19
283,20
284,20
285,14
286,09
287,32
288,11
289,20
290,01
291,04
292,14
293,30
294,19
295,20
296,29
297,26
298,01
299,20
300,32
301,01
302,13
303,04
304,23
305,21
306,18
307,23
308,19
309,22
310,16
311,24
312,31
313,07
314,33
315,30
316,26
317,20
318,24
319,13
320,10
321,15
322,22
323,15
324,06
325,30
326,04
327,32
328,31
329,07
330,30
331,20
332,07
333,17
334,10
335,28
336,02
337,14
338,33
339,33
340,05
341,24
342,02
343,16
344,18
345,21
346,18
347,03
348,06
349,32
350,06
351,08
352,12
353,20
354,08
355,08
356,20
357,27
358,17
359,32
360,07
361,11
362,01
363,29
364,01
365,16
366,20
367,28
368,26
369,23
370,04
371,09
372,06
373,27
374,14
375,27
376,12
377,26
378,15
379,13
380,03
381,13
382,04
383,09
384,05
385,02
386,28
387,21
388,32
389,18
390,14
391,05
392,09
393,17
394,12
395,31
396,20
397,15
398,27
399,21
400,23
401,14
402,22
403,22
