objectIndex,max_jf,can_rwIds,ed_rwIds
200100000080,10,"32030001,32030002","32030001,32030002"
200100000122,10,"32030001,32030002",NULL
200100000153,15,"32030001,32030002","32030001,32030002"
200100000172,20,"32030001,32030002","32030001,32030002"
200100000177,41,"32030001,32030002,32030003","32030001,32030002,32030003"
200100000259,13,"32030001,32030002","32030001,32030002"
200100000291,2,32030001,32030001
200100000301,41,"32030001,32030002,32030003","32030001,32030002,32030003"
200100000339,1,32030001,32030001
200100000439,8,32030001,32030001
200100000482,31,"32030001,32030002,32030003","32030001,32030002,32030003"
200100000682,10,"32030001,32030002",NULL
200100000716,52,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200100000747,21,"32030001,32030002","32030001,32030002"
200100000908,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200100000923,51,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200100000930,70,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200100000947,10,"32030001,32030002","32030001,32030002"
200100000977,3,32030001,32030001
200100001015,1,32030001,32030001
200100001022,20,"32030001,32030002","32030001,32030002"
200100001031,10,"32030001,32030002","32030001,32030002"
200100001064,49,"32030001,32030002,32030003","32030001,32030002,32030003"
200100001065,20,"32030001,32030002","32030001,32030002"
200100001074,20,"32030001,32030002","32030001,32030002"
200100001121,10,"32030001,32030002","32030001,32030002"
200100001174,10,"32030001,32030002","32030001,32030002"
200100001181,8,32030001,32030001
200100001193,16,"32030001,32030002",NULL
200100001198,10,"32030001,32030002","32030001,32030002"
200100001302,36,"32030001,32030002,32030003","32030001,32030002,32030003"
200100001406,120,"32030001,32030002,32030003,32030004,32030005,32030006","32030001,32030002,32030003,32030004,32030005,32030006"
200100001489,1,32030001,32030001
200100001502,47,"32030001,32030002,32030003","32030001,32030002,32030003"
200100001578,10,"32030001,32030002","32030001,32030002"
200100001696,91,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
200100001698,7,32030001,32030001
200100001774,34,"32030001,32030002,32030003","32030001,32030002,32030003"
200100001780,54,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200100001782,11,"32030001,32030002","32030001,32030002"
200100001919,10,"32030001,32030002",NULL
200100001927,20,"32030001,32030002",32030002
200100002035,7,32030001,NULL
200100002073,121,"32030001,32030002,32030003,32030004,32030005,32030006","32030001,32030002,32030003,32030004,32030005,32030006"
200100002173,18,"32030001,32030002","32030001,32030002"
200100002207,10,"32030001,32030002","32030001,32030002"
200100002227,20,"32030001,32030002","32030001,32030002"
200100002266,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200100002346,10,"32030001,32030002","32030001,32030002"
200100002389,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200100002790,15,"32030001,32030002",32030001
200100002794,7,32030001,32030001
200100002989,8,32030001,32030001
200100003235,1,32030001,32030001
200100003649,10,"32030001,32030002",NULL
200100004211,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003"
200100004449,17,"32030001,32030002","32030001,32030002"
200100004532,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200100004552,51,"32030001,32030002,32030003,32030004",NULL
200100004642,80,"32030001,32030002,32030003,32030004,32030005",NULL
200100004649,70,"32030001,32030002,32030003,32030004",NULL
200100005002,7,32030001,32030001
200100005078,36,"32030001,32030002,32030003","32030001,32030002,32030003"
200100005195,20,"32030001,32030002","32030001,32030002"
200100005238,200,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008"
200100005240,23,"32030001,32030002","32030001,32030002"
200100005321,10,"32030001,32030002","32030001,32030002"
200100005379,18,"32030001,32030002","32030001,32030002"
200100005448,40,"32030001,32030002,32030003","32030001,32030002,32030003"
200100005454,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200100005585,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200100005678,20,"32030001,32030002","32030001,32030002"
200100005805,43,"32030001,32030002,32030003","32030001,32030002,32030003"
200100005816,41,"32030001,32030002,32030003","32030001,32030002,32030003"
200100005880,20,"32030001,32030002",NULL
200100005960,304,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006,32030007"
200100006037,2,32030001,32030001
200100006094,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200100006096,21,"32030001,32030002","32030001,32030002"
200100006119,21,"32030001,32030002","32030001,32030002"
200100006220,300,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006"
200100006278,48,"32030001,32030002,32030003","32030001,32030002,32030003"
200100006399,11,"32030001,32030002","32030001,32030002"
200100006441,40,"32030001,32030002,32030003",NULL
200100006497,130,"32030001,32030002,32030003,32030004,32030005,32030006","32030002,32030003,32030004,32030005,32030006"
200100006542,78,"32030001,32030002,32030003,32030004",NULL
200100006823,10,"32030001,32030002",NULL
200100006872,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200100006921,31,"32030001,32030002,32030003","32030001,32030002,32030003"
200100007083,20,"32030001,32030002","32030001,32030002"
200100007116,15,"32030001,32030002","32030001,32030002"
200100007133,14,"32030001,32030002","32030001,32030002"
200100007153,10,"32030001,32030002","32030001,32030002"
200100007308,70,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200100007313,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200100007358,11,"32030001,32030002","32030001,32030002"
200100007364,10,"32030001,32030002","32030001,32030002"
200100007702,1,32030001,32030001
200100007703,19,"32030001,32030002","32030001,32030002"
200100007942,10,"32030001,32030002","32030001,32030002"
200100008052,10,"32030001,32030002",NULL
200100008131,12,"32030001,32030002","32030001,32030002"
200100008484,1,32030001,32030001
200100008508,11,"32030001,32030002","32030001,32030002"
200100008850,62,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200100008945,20,"32030001,32030002","32030001,32030002"
200100008958,1,32030001,32030001
200100009242,10,"32030001,32030002",NULL
200100009306,11,"32030001,32030002",NULL
200100009834,210,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008",32030002
200100009905,11,"32030001,32030002",32030002
200100009966,34,"32030001,32030002,32030003","32030001,32030002,32030003"
200100010126,1,32030001,NULL
200100010582,51,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200100010609,300,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010"
200100010740,3,32030001,32030001
200100010750,10,"32030001,32030002",NULL
200100010989,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200100011554,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200100011769,10,"32030001,32030002","32030001,32030002"
200100012046,21,"32030001,32030002","32030001,32030002"
200100012353,24,"32030001,32030002","32030001,32030002"
200100012383,22,"32030001,32030002","32030001,32030002"
200100012607,21,"32030001,32030002","32030001,32030002"
200100013090,10,"32030001,32030002","32030001,32030002"
200100013124,11,"32030001,32030002","32030001,32030002"
200100013312,70,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200100013933,100,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
200100014012,16,"32030001,32030002","32030001,32030002"
200100014368,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200100014506,10,"32030001,32030002",NULL
200100014603,10,"32030001,32030002","32030001,32030002"
200100014729,31,"32030001,32030002,32030003","32030001,32030002,32030003"
200100014952,1,32030001,32030001
200100015267,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200100015544,1,32030001,32030001
200100015674,20,"32030001,32030002","32030001,32030002"
200100015799,23,"32030001,32030002","32030001,32030002"
